Size,Bubble,Selection,Insertion,Quick,Merge,Heap
10,1.00001e-06,9.99891e-07,0,0,4.00003e-06,0
20,2.00002e-06,1.00001e-06,0,1.00001e-06,9.99996e-06,2.00002e-06
30,4.00003e-06,2.00002e-06,1.00001e-06,2.00002e-06,1.2e-05,3.00002e-06
40,6.00005e-06,3.00002e-06,1.00001e-06,2.99991e-06,1.40001e-05,3.99991e-06
50,8.99995e-06,5.00004e-06,2.00002e-06,3.00002e-06,2.40001e-05,4.00003e-06
60,1.3e-05,8.00006e-06,3.00002e-06,4.00003e-06,2.40001e-05,4.99992e-06
70,1.8e-05,9.99996e-06,3.00002e-06,4.00003e-06,2.5e-05,6.00005e-06
80,2.20001e-05,1.1e-05,4.00003e-06,4.99992e-06,3e-05,8.00006e-06
90,2.9e-05,1.4e-05,4.99992e-06,6.00005e-06,3.3e-05,8.99995e-06
100,3.3e-05,1.69999e-05,7.00005e-06,7.00005e-06,3.59999e-05,9.99996e-06
