Index,RandomValue,Timestamp
0,77,1.2e-05
1,23,0.007016
2,841,0.007072
3,469,0.00709
4,820,0.007106
5,240,0.007122
6,861,0.007137
7,79,0.007152
8,2,0.007167
9,265,0.007182
10,62,0.007196
11,506,0.007211
12,6,0.007226
13,693,0.007241
14,899,0.007256
15,283,0.007271
16,336,0.007286
17,210,0.007301
18,707,0.007316
19,804,0.007331
20,296,0.007345
21,146,0.007361
22,827,0.007376
23,245,0.00739
24,34,0.007405
25,439,0.00742
26,164,0.007435
27,720,0.00745
28,237,0.007465
29,472,0.00748
30,412,0.007494
31,342,0.00751
32,687,0.007525
33,751,0.007539
34,256,0.007554
35,998,0.007569
36,836,0.007584
37,544,0.007599
38,973,0.007614
39,767,0.007629
40,549,0.007644
41,232,0.007659
42,79,0.007673
43,726,0.007688
44,246,0.007703
45,347,0.007718
46,454,0.007733
47,949,0.007748
48,962,0.007763
49,119,0.007778
50,450,0.007793
51,316,0.007808
52,969,0.007822
53,608,0.007837
54,738,0.007852
55,236,0.007867
56,340,0.007882
57,439,0.007896
58,978,0.007911
59,92,0.007926
60,673,0.007941
61,557,0.007956
62,685,0.007971
63,50,0.007986
64,968,0.008
65,121,0.008016
66,308,0.008031
67,355,0.008046
68,888,0.00806
69,74,0.008075
70,904,0.00809
71,798,0.008105
72,739,0.00812
73,139,0.008135
74,84,0.00815
75,354,0.008164
76,96,0.008179
77,370,0.008194
78,580,0.008209
79,806,0.008224
80,617,0.008238
81,591,0.008253
82,909,0.008268
83,466,0.008283
84,456,0.008298
85,925,0.008312
86,524,0.008327
87,474,0.008342
88,810,0.008357
89,302,0.008371
90,234,0.008386
91,296,0.008401
92,45,0.008416
93,665,0.008431
94,776,0.008445
95,605,0.00846
96,54,0.008475
97,414,0.00849
98,133,0.008505
99,765,0.008519
100,57,0.008534
101,469,0.01515
102,84,0.015215
103,797,0.015236
104,115,0.015255
105,369,0.015272
106,774,0.01529
107,313,0.015308
108,807,0.015326
109,323,0.015343
110,269,0.015361
111,452,0.015379
112,44,0.015396
113,131,0.015414
114,293,0.015431
115,29,0.015449
116,332,0.015467
117,378,0.015484
118,693,0.015502
119,325,0.01552
120,360,0.015537
121,198,0.015555
122,274,0.015572
123,852,0.01559
124,557,0.015607
125,959,0.015625
126,240,0.015643
127,400,0.01566
128,322,0.015678
129,945,0.015696
130,456,0.015713
131,707,0.015731
132,28,0.015748
133,908,0.015766
134,806,0.015783
135,884,0.015801
136,31,0.015818
137,897,0.015835
138,166,0.015853
139,483,0.01587
140,193,0.015888
141,97,0.015906
142,124,0.015923
143,298,0.01594
144,370,0.015958
145,336,0.015976
146,577,0.015993
147,452,0.016011
148,80,0.01603
149,775,0.016048
150,774,0.016065
151,747,0.016083
152,449,0.0161
153,984,0.016118
154,122,0.016139
155,396,0.016166
156,970,0.016195
157,511,0.016303
158,647,0.016363
159,689,0.016383
160,181,0.016401
161,393,0.016419
162,956,0.016437
163,770,0.016454
164,331,0.016472
165,22,0.016491
166,9,0.016509
167,835,0.016526
168,593,0.016544
169,86,0.016561
170,996,0.016578
171,384,0.016596
172,988,0.016613
173,592,0.016631
174,67,0.016648
175,612,0.016666
176,528,0.016683
177,749,0.016701
178,112,0.016718
179,356,0.016736
180,345,0.016753
181,183,0.01677
182,934,0.016788
183,71,0.016806
184,210,0.016823
185,685,0.016841
186,372,0.016858
187,911,0.016876
188,531,0.016893
189,914,0.01691
190,648,0.016928
191,449,0.016945
192,177,0.016963
193,711,0.01698
194,581,0.016998
195,252,0.017016
196,263,0.017033
197,282,0.017051
198,550,0.017069
199,103,0.017087
200,977,0.017104
201,67,0.024535
202,121,0.024606
203,358,0.024631
204,373,0.024652
205,836,0.024672
206,177,0.024692
207,599,0.024712
208,462,0.024732
209,119,0.024752
210,601,0.025059
211,791,0.025159
212,243,0.025186
213,293,0.025206
214,568,0.025227
215,518,0.025247
216,533,0.025267
217,672,0.025287
218,613,0.025307
219,182,0.025327
220,119,0.025347
221,238,0.025367
222,265,0.025387
223,215,0.025407
224,486,0.025426
225,603,0.025446
226,926,0.025466
227,932,0.025486
228,189,0.025505
229,718,0.025525
230,100,0.025545
231,946,0.025565
232,830,0.025585
233,626,0.025605
234,796,0.025625
235,892,0.025645
236,837,0.025752
237,673,0.025783
238,586,0.025804
239,589,0.025824
240,185,0.025844
241,173,0.025865
242,479,0.025885
243,914,0.025905
244,151,0.025924
245,551,0.025944
246,366,0.025964
247,691,0.025984
248,638,0.026005
249,18,0.026025
250,503,0.026044
251,1000,0.026065
252,510,0.026085
253,770,0.026105
254,381,0.026125
255,689,0.026144
256,772,0.026164
257,355,0.026184
258,153,0.026204
259,949,0.026224
260,172,0.026244
261,646,0.026263
262,178,0.026283
263,645,0.026303
264,692,0.026323
265,475,0.026342
266,103,0.026362
267,607,0.026382
268,100,0.026402
269,24,0.026422
270,64,0.026442
271,572,0.026461
272,229,0.026481
273,944,0.026501
274,777,0.026521
275,617,0.026541
276,773,0.026561
277,420,0.02658
278,126,0.0266
279,685,0.026621
280,785,0.026641
281,547,0.026661
282,128,0.026681
283,382,0.0267
284,575,0.02672
285,687,0.02674
286,423,0.02676
287,845,0.026801
288,177,0.026822
289,292,0.026841
290,328,0.026861
291,511,0.026881
292,566,0.026901
293,536,0.026921
294,973,0.02694
295,932,0.02696
296,778,0.02698
297,312,0.027
298,964,0.027021
299,500,0.027041
300,953,0.02706
301,141,0.033162
302,190,0.033292
303,276,0.033331
304,32,0.033364
305,647,0.033397
306,510,0.033428
307,952,0.033459
308,802,0.033491
309,388,0.033524
310,764,0.033554
311,391,0.033582
312,133,0.033698
313,280,0.033736
314,698,0.033757
315,573,0.033777
316,183,0.033797
317,540,0.033817
318,934,0.033837
319,862,0.033856
320,133,0.033876
321,402,0.033896
322,390,0.033915
323,468,0.033935
324,512,0.033955
325,630,0.033974
326,311,0.033994
327,829,0.034013
328,396,0.034033
329,951,0.034053
330,259,0.034072
331,748,0.034092
332,448,0.034112
333,705,0.034133
334,73,0.034154
335,677,0.034175
336,998,0.034196
337,275,0.034217
338,23,0.034238
339,256,0.034259
340,907,0.03428
341,34,0.034302
342,438,0.034323
343,199,0.034344
344,229,0.034365
345,914,0.034386
346,461,0.034407
347,863,0.034428
348,798,0.034449
349,778,0.034471
350,887,0.034492
351,627,0.034513
352,228,0.034534
353,135,0.034555
354,465,0.034576
355,857,0.034597
356,322,0.034618
357,565,0.034639
358,68,0.03466
359,627,0.034681
360,483,0.034702
361,891,0.034723
362,431,0.034744
363,369,0.034765
364,42,0.034786
365,128,0.034807
366,886,0.034828
367,174,0.03485
368,709,0.034871
369,55,0.034892
370,282,0.034913
371,172,0.034934
372,903,0.034955
373,530,0.034976
374,181,0.034997
375,560,0.035018
376,977,0.035039
377,13,0.03506
378,149,0.035081
379,551,0.035102
380,385,0.035122
381,93,0.035142
382,965,0.035161
383,822,0.035181
384,838,0.0352
385,777,0.03522
386,930,0.03524
387,863,0.035259
388,700,0.035279
389,635,0.035298
390,767,0.035318
391,780,0.035338
392,896,0.035357
393,863,0.035396
394,389,0.035416
395,507,0.035436
396,372,0.035455
397,311,0.035475
398,430,0.035495
399,476,0.035515
400,399,0.035535
401,693,0.04371
402,540,0.043783
403,586,0.043807
404,763,0.043828
405,465,0.043849
406,381,0.043869
407,928,0.043889
408,445,0.043908
409,589,0.043928
410,330,0.043949
411,428,0.043969
412,841,0.043989
413,795,0.044009
414,242,0.044029
415,70,0.044048
416,404,0.044068
417,578,0.044088
418,221,0.044108
419,953,0.044128
420,497,0.044148
421,72,0.044168
422,526,0.044188
423,629,0.044208
424,668,0.044228
425,629,0.044248
426,93,0.044268
427,985,0.044287
428,628,0.044308
429,208,0.044327
430,423,0.044347
431,441,0.044367
432,370,0.044387
433,292,0.044407
434,139,0.044427
435,205,0.044447
436,619,0.044467
437,314,0.044487
438,660,0.044506
439,968,0.044526
440,861,0.044546
441,545,0.044566
442,282,0.044586
443,472,0.044606
444,939,0.044626
445,373,0.044646
446,656,0.044666
447,968,0.044686
448,149,0.044705
449,169,0.044725
450,780,0.044746
451,902,0.044765
452,8,0.044785
453,842,0.044805
454,142,0.044825
455,77,0.044845
456,206,0.044864
457,757,0.044884
458,460,0.044904
459,462,0.044924
460,31,0.044944
461,293,0.044964
462,116,0.044984
463,189,0.045004
464,843,0.045023
465,890,0.045044
466,483,0.045072
467,441,0.045098
468,463,0.045119
469,542,0.045138
470,931,0.045158
471,774,0.045178
472,706,0.045198
473,616,0.045218
474,678,0.045238
475,594,0.045258
476,722,0.045278
477,435,0.045297
478,996,0.045317
479,816,0.045337
480,692,0.045357
481,696,0.045377
482,348,0.045397
483,426,0.045417
484,453,0.045457
485,951,0.045477
486,167,0.045497
487,287,0.045517
488,954,0.045537
489,397,0.045557
490,195,0.045577
491,438,0.045596
492,951,0.045616
493,512,0.045636
494,229,0.045656
495,24,0.045676
496,672,0.045696
497,616,0.045716
498,872,0.045735
499,888,0.045755
500,105,0.045775
501,456,0.05204
502,398,0.052129
503,510,0.052153
504,838,0.052174
505,45,0.052194
506,212,0.052214
507,193,0.052234
508,331,0.052254
509,132,0.052274
510,850,0.052294
511,700,0.052314
512,839,0.052334
513,851,0.052354
514,593,0.052374
515,155,0.052393
516,735,0.052413
517,553,0.052433
518,134,0.052453
519,470,0.052472
520,807,0.052492
521,996,0.052512
522,66,0.052532
523,931,0.052552
524,306,0.052571
525,415,0.052591
526,496,0.052611
527,222,0.052631
528,97,0.05265
529,61,0.05267
530,956,0.05269
531,70,0.05271
532,565,0.05273
533,252,0.052751
534,711,0.052771
535,112,0.05279
536,419,0.05281
537,432,0.05283
538,730,0.05285
539,313,0.05287
540,26,0.05289
541,741,0.05291
542,448,0.05293
543,335,0.052949
544,112,0.052969
545,696,0.052989
546,849,0.053008
547,609,0.053028
548,553,0.053048
549,112,0.053068
550,316,0.053087
551,621,0.053108
552,560,0.053128
553,827,0.053148
554,313,0.053168
555,385,0.053187
556,488,0.053207
557,219,0.053227
558,19,0.053246
559,37,0.053266
560,565,0.053286
561,726,0.053305
562,234,0.053325
563,4,0.053345
564,367,0.053365
565,897,0.053384
566,237,0.053404
567,640,0.053423
568,247,0.053443
569,616,0.053463
570,124,0.053482
571,549,0.053502
572,143,0.053521
573,899,0.053541
574,214,0.053561
575,567,0.05358
576,38,0.0536
577,789,0.05362
578,396,0.05364
579,733,0.05366
580,353,0.053679
581,277,0.053699
582,889,0.053719
583,847,0.053757
584,101,0.053779
585,470,0.053799
586,98,0.053818
587,414,0.053838
588,101,0.053858
589,45,0.053878
590,818,0.053898
591,812,0.053917
592,175,0.053937
593,908,0.053957
594,25,0.053977
595,561,0.053997
596,537,0.054017
597,315,0.054037
598,114,0.054057
599,618,0.054076
600,378,0.054096
601,476,0.063519
602,859,0.063593
603,848,0.063617
604,48,0.063638
605,154,0.063658
606,901,0.063678
607,468,0.063699
608,85,0.063719
609,409,0.063739
610,342,0.063759
611,698,0.063779
612,631,0.063799
613,547,0.063819
614,94,0.063839
615,194,0.063859
616,742,0.063879
617,640,0.063899
618,652,0.063919
619,801,0.063939
620,434,0.063959
621,222,0.063979
622,566,0.063999
623,129,0.064019
624,937,0.064039
625,147,0.064059
626,898,0.064079
627,34,0.064099
628,434,0.064119
629,810,0.064138
630,174,0.064158
631,103,0.064178
632,652,0.064198
633,88,0.064219
634,28,0.064239
635,717,0.064259
636,224,0.064279
637,667,0.064299
638,582,0.064319
639,225,0.064338
640,995,0.064358
641,917,0.064378
642,29,0.064398
643,211,0.064418
644,190,0.064438
645,543,0.064458
646,444,0.064478
647,681,0.064498
648,519,0.064518
649,215,0.064538
650,675,0.064558
651,454,0.064578
652,394,0.064598
653,882,0.064618
654,740,0.064638
655,708,0.064658
656,509,0.064678
657,22,0.064698
658,430,0.064718
659,373,0.064738
660,178,0.064757
661,126,0.064777
662,577,0.064797
663,574,0.064817
664,290,0.064837
665,934,0.064857
666,411,0.064876
667,273,0.064896
668,474,0.064916
669,250,0.064936
670,136,0.064956
671,445,0.064976
672,561,0.064996
673,759,0.065022
674,620,0.065059
675,704,0.06509
676,26,0.06516
677,377,0.065201
678,976,0.065272
679,80,0.065301
680,387,0.065345
681,839,0.065374
682,608,0.065402
683,457,0.06543
684,543,0.065458
685,544,0.065486
686,635,0.065513
687,690,0.06554
688,649,0.065569
689,193,0.065612
690,37,0.06564
691,197,0.065669
692,310,0.065698
693,829,0.065727
694,623,0.065756
695,987,0.065787
696,450,0.065827
697,343,0.065861
698,515,0.065892
699,713,0.065923
700,657,0.065953
701,830,0.073368
702,339,0.073462
703,624,0.073485
704,739,0.073505
705,375,0.073524
706,948,0.073544
707,650,0.073563
708,47,0.073582
709,199,0.073602
710,531,0.073621
711,651,0.07364
712,759,0.07366
713,682,0.073679
714,409,0.073699
715,130,0.073718
716,970,0.073737
717,395,0.073756
718,888,0.073775
719,85,0.073794
720,969,0.073814
721,244,0.073833
722,772,0.073852
723,99,0.073871
724,664,0.073891
725,33,0.073911
726,621,0.07393
727,334,0.073949
728,262,0.073969
729,730,0.073988
730,163,0.074007
731,884,0.074026
732,644,0.074045
733,373,0.074065
734,391,0.074084
735,829,0.074103
736,166,0.074122
737,54,0.074141
738,172,0.074161
739,290,0.07418
740,755,0.074199
741,734,0.074218
742,80,0.074237
743,480,0.074256
744,996,0.074275
745,610,0.074294
746,216,0.074314
747,426,0.074333
748,346,0.074352
749,454,0.074371
750,243,0.07439
751,918,0.074409
752,650,0.074428
753,137,0.074448
754,497,0.074467
755,333,0.074486
756,818,0.074506
757,977,0.074525
758,540,0.074544
759,132,0.074563
760,101,0.074582
761,157,0.074601
762,1000,0.07462
763,172,0.074639
764,716,0.074659
765,164,0.074678
766,927,0.074697
767,23,0.074716
768,846,0.074735
769,987,0.074754
770,584,0.074773
771,386,0.074792
772,717,0.074811
773,211,0.07483
774,773,0.074849
775,176,0.074869
776,10,0.074888
777,537,0.074907
778,537,0.074926
779,218,0.074945
780,755,0.074964
781,494,0.074983
782,238,0.075002
783,997,0.075021
784,692,0.07504
785,246,0.075059
786,111,0.075078
787,3,0.075118
788,419,0.075138
789,281,0.075157
790,995,0.075176
791,307,0.075195
792,916,0.075214
793,458,0.075233
794,756,0.075252
795,23,0.075271
796,557,0.07529
797,771,0.075309
798,344,0.075329
799,173,0.075348
800,247,0.075367
801,852,0.082854
802,440,0.082931
803,190,0.082954
804,64,0.082974
805,71,0.082994
806,699,0.083013
807,356,0.083033
808,304,0.083052
809,294,0.083072
810,654,0.083091
811,922,0.08311
812,957,0.08313
813,628,0.083149
814,467,0.083168
815,712,0.083188
816,128,0.083207
817,921,0.083226
818,351,0.083245
819,209,0.083264
820,434,0.083284
821,847,0.083303
822,630,0.083322
823,331,0.083341
824,229,0.08336
825,353,0.083389
826,962,0.08342
827,187,0.083445
828,835,0.083467
829,994,0.083601
830,20,0.083638
831,714,0.083659
832,150,0.08368
833,63,0.083699
834,64,0.083719
835,55,0.083738
836,783,0.083757
837,445,0.083777
838,454,0.083796
839,850,0.083816
840,12,0.083835
841,286,0.083854
842,668,0.083873
843,320,0.083892
844,495,0.083911
845,918,0.08393
846,506,0.083949
847,510,0.083968
848,438,0.083987
849,992,0.084006
850,885,0.084025
851,227,0.084044
852,708,0.084063
853,205,0.084082
854,720,0.084101
855,3,0.084121
856,1,0.08414
857,774,0.084159
858,674,0.084178
859,428,0.084197
860,18,0.084216
861,757,0.084235
862,170,0.084254
863,478,0.084273
864,43,0.084292
865,794,0.084311
866,311,0.08433
867,346,0.084349
868,744,0.084368
869,627,0.084387
870,848,0.084406
871,829,0.084425
872,584,0.084443
873,213,0.084463
874,801,0.084481
875,508,0.084501
876,377,0.08452
877,983,0.084539
878,225,0.084558
879,657,0.084577
880,875,0.084596
881,725,0.084615
882,28,0.084634
883,70,0.084653
884,44,0.084671
885,482,0.08469
886,993,0.084709
887,98,0.084728
888,283,0.084748
889,2,0.084766
890,518,0.084785
891,848,0.084804
892,593,0.084823
893,463,0.084842
894,113,0.084861
895,377,0.08488
896,542,0.084899
897,786,0.084917
898,32,0.084937
899,697,0.084955
900,249,0.084974
901,991,0.094374
902,256,0.094444
903,444,0.094466
904,697,0.094485
905,176,0.094503
906,627,0.094522
907,781,0.09454
908,801,0.094558
909,379,0.094576
910,100,0.094595
911,182,0.094613
912,119,0.094631
913,633,0.094649
914,736,0.094667
915,941,0.094685
916,188,0.094703
917,929,0.094721
918,617,0.094739
919,597,0.094757
920,922,0.094775
921,13,0.094793
922,174,0.094811
923,394,0.094829
924,458,0.094847
925,715,0.094865
926,213,0.094883
927,784,0.094993
928,61,0.095023
929,259,0.095042
930,915,0.09506
931,463,0.095078
932,272,0.095096
933,586,0.095114
934,163,0.095132
935,158,0.09515
936,305,0.095168
937,4,0.095186
938,265,0.095204
939,722,0.095222
940,363,0.09524
941,711,0.095258
942,375,0.095276
943,507,0.095294
944,570,0.095312
945,569,0.09533
946,480,0.095348
947,988,0.095365
948,312,0.095383
949,590,0.095401
950,875,0.095419
951,55,0.095437
952,656,0.095455
953,561,0.095473
954,160,0.095491
955,569,0.095509
956,856,0.095527
957,623,0.095545
958,191,0.095562
959,892,0.09558
960,184,0.095598
961,913,0.095616
962,700,0.095634
963,357,0.095651
964,824,0.095669
965,910,0.095687
966,962,0.095705
967,530,0.095723
968,520,0.09574
969,906,0.095758
970,13,0.095776
971,192,0.095794
972,533,0.095812
973,305,0.095829
974,741,0.095847
975,367,0.095865
976,705,0.095883
977,148,0.0959
978,576,0.095919
979,189,0.095937
980,998,0.095954
981,398,0.095972
982,271,0.09599
983,909,0.096008
984,212,0.096025
985,913,0.096044
986,680,0.096062
987,691,0.096102
988,427,0.096121
989,30,0.096139
990,653,0.096157
991,235,0.096175
992,867,0.096193
993,295,0.096211
994,42,0.096228
995,819,0.096246
996,518,0.096264
997,921,0.096282
998,270,0.0963
999,565,0.096319
